prefecture_code,prefecture,year,ambulance_dispatches,persons_transported,call_to_scene_arrival_mean_minutes,call_to_physician_handover_mean_minutes,scene_ge10_count,scene_ge20_count,handover_ge60_count,handover_ge120_count,ambulance_teams,ambulance_vehicles,ambulance_personnel,operational_emergency_life_saving_technicians,emergency_designated_hospitals,emergency_designated_clinics,total_emergency_designated_facilities,hospitals,general_hospital_beds,acute_function_beds,highly_acute_function_beds,total_population,population_age65plus,legacy_inhabitable_land_area_km2_ssdse,total_emergency_designated_facilities_direct,total_emergency_designated_facilities_recalculated,inhabitable_land_area_ha,H711001_road_length_including_expressways_km_raw,H7110_road_length_excluding_expressways_km_raw,road_length_original_unit,scene_ge10_share,scene_ge20_share,handover_ge60_share,handover_ge120_share,annual_transport_strain_dispatches_per_team,annual_receiving_strain_transports_per_facility,proportion_age65plus,ambulance_dispatches_per_100000_population,ambulance_teams_per_100000_population,inhabitable_land_area_km2,total_road_length_km,road_length_excluding_expressways_km,population_density_per_inhabitable_km2,road_density_per_inhabitable_km2,road_density_excluding_expressways_per_inhabitable_km2
01,北海道,2014,241214,217618,7.6,37.3,48439,4416,18384,1349,310,408,4459,1923,,,,,,,,,,,,,,,,,0.200813385624,0.0183073950932,0.0844783060225,0.0061989357498,778.109677419,,,,,,,,,,
02,青森県,2014,47986,44565,8.0,35.4,11798,881,2778,125,90,111,1308,396,,,,,,,,,,,,,,,,,0.245863376818,0.0183595215271,0.0623359138337,0.00280489173118,533.177777778,,,,,,,,,,
03,岩手県,2014,49880,46633,8.9,42.3,16382,2618,6656,398,84,99,1135,365,,,,,,,,,,,,,,,,,0.328428227747,0.0524859663192,0.142731542041,0.00853472862565,593.80952381,,,,,,,,,,
04,宮城県,2014,101344,90927,8.6,42.8,31127,2397,12971,515,93,114,1054,381,,,,,,,,,,,,,,,,,0.307142011367,0.0236521155668,0.142652897379,0.00566388421481,1089.72043011,,,,,,,,,,
05,秋田県,2014,39801,37099,8.4,36.2,11671,1089,2747,111,75,85,1052,287,,,,,,,,,,,,,,,,,0.293233838346,0.0273611215799,0.07404512251,0.00299199439338,530.68,,,,,,,,,,
06,山形県,2014,43105,40712,8.9,37.1,14393,1159,2712,95,65,78,698,236,,,,,,,,,,,,,,,,,0.333905579399,0.026887832038,0.0666142660641,0.00233346433484,663.153846154,,,,,,,,,,
07,福島県,2014,80409,74157,9.4,43.6,31205,3031,11339,489,119,132,1409,394,,,,,,,,,,,,,,,,,0.38807844893,0.0376947854096,0.152905322491,0.00659411788503,675.705882353,,,,,,,,,,
08,茨城県,2014,120280,110938,8.8,41.1,41705,1953,11833,454,150,169,2194,654,,,,,,,,,,,,,,,,,0.346732623878,0.0162371134021,0.106663181236,0.00409237592169,801.866666667,,,,,,,,,,
09,栃木県,2014,77525,69720,8.1,40.5,20358,1307,7135,277,90,103,1021,423,,,,,,,,,,,,,,,,,0.262599161561,0.0168590777169,0.102337923121,0.00397303499713,861.388888889,,,,,,,,,,
10,群馬県,2014,88399,81695,8.5,36.7,24165,2422,5497,337,92,107,1081,416,,,,,,,,,,,,,,,,,0.273362820846,0.027398499983,0.0672868596609,0.00412509945529,960.858695652,,,,,,,,,,
