prefecture_code,prefecture,year,ambulance_dispatches,persons_transported,call_to_scene_arrival_mean_minutes,call_to_physician_handover_mean_minutes,scene_ge10_count,scene_ge20_count,handover_ge60_count,handover_ge120_count,ambulance_teams,ambulance_vehicles,ambulance_personnel,operational_emergency_life_saving_technicians,emergency_designated_hospitals,emergency_designated_clinics,total_emergency_designated_facilities,hospitals,general_hospital_beds,acute_function_beds,highly_acute_function_beds,total_population,population_age65plus,legacy_inhabitable_land_area_km2_ssdse,total_emergency_designated_facilities_direct,total_emergency_designated_facilities_recalculated,inhabitable_land_area_ha,H711001_road_length_including_expressways_km_raw,H7110_road_length_excluding_expressways_km_raw,road_length_original_unit,scene_ge10_share,scene_ge20_share,handover_ge60_share,handover_ge120_share,annual_transport_strain_dispatches_per_team,annual_receiving_strain_transports_per_facility,proportion_age65plus,ambulance_dispatches_per_100000_population,ambulance_teams_per_100000_population,inhabitable_land_area_km2,total_road_length_km,road_length_excluding_expressways_km,population_density_per_inhabitable_km2,road_density_per_inhabitable_km2,road_density_excluding_expressways_per_inhabitable_km2,acceptance_prefecture_name,severe_analysis_population_n,inquiries_ge4_n,acceptance_ge4_pct,scene_stay_analysis_population_n,scene_stay_ge30_n,scene_stay_ge30_pct,scene_ge10_pct,handover_ge60_pct,acceptance_ge4_cases_per_1000_dispatches,baseline_teams_per100k_2017_2019,baseline_team_scarcity_z
1,北海道,2014,241214,217618,7.6,37.3,48439,4416,18384,1349,310,408,4459,1923,,,,,,,,,,,,,,,,,0.200813385624,0.0183073950932,0.0844783060225,0.0061989357498,778.109677419,,,,,,,,,,,北海道,20830,323,1.5506481037,20830,803,3.85501680268843,20.0813385624,8.44783060225,1.3390599218950807,6.160051472893333,-0.6312101032008967
1,北海道,2015,240693,217516,7.6,37.5,47254,4226,18298,1385,311,409,4398,1950,,,,,,,,,,,,,,,,,0.196324778868,0.0175576356604,0.0841225473069,0.00636734768937,773.932475884,,,,,,,,,,,北海道,20757,296,1.4260249554,20757,787,3.7914920267861443,19.6324778868,8.41225473069,1.2297823368357201,6.160051472893333,-0.6312101032008967
1,北海道,2016,248143,224029,7.8,38.3,52219,4834,20169,1527,322,414,4611,2139,,,,,,,,,,,,,,,,,0.210439141946,0.0194807026594,0.090028523093,0.00681608184655,770.630434783,,,,,,,,,,,北海道,21481,289,1.3453749825,21481,839,3.905777198454448,21.0439141946,9.0028523093,1.1646510278347566,6.160051472893333,-0.6312101032008967
1,北海道,2017,253148,229085,7.8,38.6,54139,4581,21146,1682,325,422,4521,2106,258.0,17.0,275.0,493.0,,,,5325000.0,1632000.0,,275.0,275.0,2237239.0,90410.9,89662.9,km,0.213863036643,0.0180961334871,0.0923063491717,0.00734225287557,778.916923077,833.036363636,0.306478873239,4753.95305164,6.10328638498,22372.39,90410.9,89662.9,238.016590986,4.0411820105,4.00774794289,北海道,21703,306,1.4099433258,21703,880,4.054738976178409,21.386303664299998,9.23063491717,1.2087790541501415,6.160051472893333,-0.6312101032008967
1,北海道,2018,263739,239012,8.0,38.7,58922,5003,22127,1762,327,425,4631,2154,257.0,17.0,274.0,486.0,,,,5293000.0,1656000.0,,274.0,274.0,2237238.0,90456.8,89693.3,km,0.223410265452,0.0189695115247,0.0925769417435,0.00737201479424,806.541284404,872.306569343,0.312866049499,4982.7885887,6.17797090497,22372.38,90456.8,89693.3,236.586362291,4.04323545372,4.0091085526,北海道,21698,309,1.4240943866,21698,908,4.184717485482533,22.3410265452,9.25769417435,1.1716128445167382,6.160051472893333,-0.6312101032008967
1,北海道,2019,269210,242714,8.0,38.8,61087,4813,22617,1698,326,425,4629,2197,261.0,16.0,277.0,484.0,,,,5259000.0,1673000.0,,277.0,277.0,2237288.0,90552.7,89766.0,km,0.226912076074,0.0178782363211,0.0931837471262,0.00699588816467,825.797546012,876.223826715,0.31812131584,5119.03403689,6.19889712873,22372.88,90552.7,89766.0,235.061377883,4.04743153318,4.01226842499,北海道,21775,407,1.8691159587,21775,1093,5.019517795637198,22.6912076074,9.31837471262,1.511830912670406,6.160051472893333,-0.6312101032008967
1,北海道,2020,241616,215744,8.3,40.5,61398,4886,24358,1651,326,427,4608,2239,,,,479.0,,,,5224614.0,1664023.0,2269923.0,,,,,,,0.254113965963,0.0202221707172,0.112902328686,0.00765258825274,741.153374233,,0.318496830579,4624.57130804,6.23969541099,,,,,,,北海道,20703,481,2.3233347824,20703,1211,5.849393807660726,25.4113965963,11.2902328686,1.9907622011787298,6.160051472893333,-0.6312101032008967
1,北海道,2021,260844,231281,8.6,41.9,76276,6151,29625,1825,325,429,4620,2332,,,,471.0,,,,5183000.0,1686000.0,2269920.0,,,,,,,0.292419990492,0.0235811442855,0.128090936999,0.00789083409359,802.596923077,,0.32529423114,5032.68377388,6.27049971059,,,,,,,北海道,21449,612,2.8532798732,21449,1513,7.053941908713693,29.2419990492,12.809093699900002,2.3462299305331924,6.160051472893333,-0.6312101032008967
1,北海道,2022,296071,254349,9.4,45.2,107983,10896,44618,3194,328,435,4765,2381,,,,465.0,,,,5140000.0,1686000.0,2269856.0,,,,,,,0.364719948931,0.0368019833081,0.175420386949,0.0125575488797,902.655487805,,0.328015564202,5760.13618677,6.3813229572,,,,,,,北海道,23050,1169,5.0715835141,23050,2292,9.943600867678958,36.4719948931,17.5420386949,3.948377247349453,6.160051472893333,-0.6312101032008967
1,北海道,2023,312477,271261,9.2,44.0,110095,10093,42458,2410,332,436,4705,2365,,,,464.0,,,,5092000.0,1681000.0,2268995.0,,,,,,,0.352329931483,0.0322999772783,0.156520841551,0.00888443233638,941.195783133,,0.330125687353,6136.62608013,6.52003142184,,,,,,,北海道,23281,1049,4.5058201967,23281,2254,9.681714702976675,35.232993148300004,15.652084155099999,3.3570470786649897,6.160051472893333,-0.6312101032008967
