year,prefecture_code,prefecture_name,analysis_population_n,scene_stay_ge30_n,scene_stay_ge30_share_reported_pct,scene_stay_ge45_n,scene_stay_ge60_n,source_pdf_filename,source_pdf_page,extraction_method,double_check_status,scene_stay_ge30_share_calculated_pct,rounding_difference_pp
2014,1,北海道,20830,803,3.9,167,55,2014_fdma_acceptance_friction.pdf,10,pdftotext_layout_plus_render_review,checked,3.85501680268843,-0.04498319731156997
2014,2,青森県,6995,152,2.2,37,12,2014_fdma_acceptance_friction.pdf,10,pdftotext_layout_plus_render_review,checked,2.172980700500357,-0.02701929949964299
2014,3,岩手県,6072,246,4.1,49,16,2014_fdma_acceptance_friction.pdf,10,pdftotext_layout_plus_render_review,checked,4.051383399209486,-0.04861660079051333
2014,4,宮城県,9120,921,10.1,238,81,2014_fdma_acceptance_friction.pdf,10,pdftotext_layout_plus_render_review,checked,10.098684210526315,-0.0013157894736846032
2014,5,秋田県,6880,56,0.8,20,11,2014_fdma_acceptance_friction.pdf,10,pdftotext_layout_plus_render_review,checked,0.813953488372093,0.013953488372092981
2014,6,山形県,6296,280,4.4,50,9,2014_fdma_acceptance_friction.pdf,10,pdftotext_layout_plus_render_review,checked,4.447268106734435,0.04726810673443449
2014,7,福島県,8809,469,5.3,108,37,2014_fdma_acceptance_friction.pdf,10,pdftotext_layout_plus_render_review,checked,5.324100351912817,0.024100351912816897
2014,8,茨城県,9865,614,6.2,150,66,2014_fdma_acceptance_friction.pdf,10,pdftotext_layout_plus_render_review,checked,6.224024328433857,0.024024328433856823
2014,9,栃木県,7657,434,5.7,101,37,2014_fdma_acceptance_friction.pdf,10,pdftotext_layout_plus_render_review,checked,5.668016194331984,-0.031983805668016174
2014,10,群馬県,8341,308,3.7,79,25,2014_fdma_acceptance_friction.pdf,10,pdftotext_layout_plus_render_review,checked,3.6926028054190145,-0.007397194580985644
2014,11,埼玉県,23680,3704,15.6,1160,448,2014_fdma_acceptance_friction.pdf,10,pdftotext_layout_plus_render_review,checked,15.641891891891891,0.041891891891891575
2014,12,千葉県,18783,2322,12.4,580,214,2014_fdma_acceptance_friction.pdf,10,pdftotext_layout_plus_render_review,checked,12.362242453282223,-0.03775754671777776
2014,13,東京都,44575,2730,6.1,810,267,2014_fdma_acceptance_friction.pdf,10,pdftotext_layout_plus_render_review,checked,6.12450925406618,0.024509254066180652
2014,14,神奈川県,32297,2479,7.7,538,177,2014_fdma_acceptance_friction.pdf,10,pdftotext_layout_plus_render_review,checked,7.675635507941914,-0.024364492058086107
