year,severe_case_definition_confirmed,interfacility_transfer_excluded,inquiry_definition_confirmed,threshold_ge4_confirmed,coverage_issue,definition_deviation,reviewer_notes
2014,yes,yes,yes,yes,none_detected_in_target_table,none_detected,Confirmed from official FDMA source manifest population definition and target table; no material annual deviation detected during extraction.
2015,yes,yes,yes,yes,none_detected_in_target_table,none_detected,Confirmed from official FDMA source manifest population definition and target table; no material annual deviation detected during extraction.
2016,yes,yes,yes,yes,none_detected_in_target_table,none_detected,Confirmed from official FDMA source manifest population definition and target table; no material annual deviation detected during extraction.
2017,yes,yes,yes,yes,none_detected_in_target_table,none_detected,Confirmed from official FDMA source manifest population definition and target table; no material annual deviation detected during extraction.
2018,yes,yes,yes,yes,none_detected_in_target_table,none_detected,Confirmed from official FDMA source manifest population definition and target table; no material annual deviation detected during extraction.
2019,yes,yes,yes,yes,none_detected_in_target_table,none_detected,Confirmed from official FDMA source manifest population definition and target table; no material annual deviation detected during extraction.
2020,yes,yes,yes,yes,none_detected_in_target_table,none_detected,Confirmed from official FDMA source manifest population definition and target table; no material annual deviation detected during extraction.
2021,yes,yes,yes,yes,none_detected_in_target_table,none_detected,Confirmed from official FDMA source manifest population definition and target table; no material annual deviation detected during extraction.
2022,yes,yes,yes,yes,none_detected_in_target_table,none_detected,Confirmed from official FDMA source manifest population definition and target table; no material annual deviation detected during extraction.
2023,yes,yes,yes,yes,none_detected_in_target_table,none_detected,Confirmed from official FDMA source manifest population definition and target table; no material annual deviation detected during extraction.
2024,yes,yes,yes,yes,none_detected_in_target_table,none_detected,Confirmed from official FDMA source manifest population definition and target table; no material annual deviation detected during extraction.
