year,japanese_year,official_pdf_url,target_table_printed_page,target_table_title,population_definition
2014,平成26年,https://www.fdma.go.jp/singi_kento/kento/items/kento169_09_sankou-01.pdf,8,医療機関に受入れの照会を行った回数ごとの件数（その2）,重症（長期入院）以上傷病者・転院搬送除外後の分析対象搬送人員
2015,平成27年,https://www.fdma.go.jp/singi_kento/kento/items/kento193_07_sankou2.pdf,8,医療機関に受入れの照会を行った回数ごとの件数（その2）,重症（長期入院）以上傷病者・転院搬送除外後の分析対象搬送人員
2016,平成28年,https://www.fdma.go.jp/singi_kento/kento/items/kento215_26_sankou2.pdf,7,医療機関に受入れの照会を行った回数ごとの件数（その2）,重症（長期入院）以上傷病者・転院搬送除外後の分析対象搬送人員
2017,平成29年,https://www.fdma.go.jp/singi_kento/kento/items/post-48/01/sankou1.pdf,7,医療機関に受入れの照会を行った回数ごとの件数（その2）,重症（長期入院）以上傷病者・転院搬送除外後の分析対象搬送人員
2018,平成30年,https://www.fdma.go.jp/singi_kento/kento/items/post-48/03/sankou3.pdf,7,医療機関に受入れの照会を行った回数ごとの件数（その2）,重症（長期入院）以上傷病者・転院搬送除外後の分析対象搬送人員
2019,令和元年,https://www.fdma.go.jp/singi_kento/kento/items/post-57/03/sankou2.pdf,7,医療機関に受入れの照会を行った回数ごとの件数（その2）,重症（長期入院）以上傷病者・転院搬送除外後の分析対象搬送人員
2020,令和2年,https://www.fdma.go.jp/singi_kento/kento/items/post-93/03/sankou3.pdf,7,医療機関に受入れの照会を行った回数ごとの件数（その2）,重症（長期入院）以上傷病者・転院搬送除外後の分析対象搬送人員
2021,令和3年,https://www.fdma.go.jp/singi_kento/kento/items/post-118/04/sankou2.pdf,7,医療機関に受入れの照会を行った回数ごとの件数（その2）,重症（長期入院）以上傷病者・転院搬送除外後の分析対象搬送人員
2022,令和4年,https://www.fdma.go.jp/singi_kento/kento/items/post-134/03/sankou2.pdf,7,医療機関に受入れの照会を行った回数ごとの件数（その2）,重症（長期入院）以上傷病者・転院搬送除外後の分析対象搬送人員
2023,令和5年,https://www.fdma.go.jp/singi_kento/kento/items/post-151/03/sankou3.pdf,7,医療機関に受入れの照会を行った回数ごとの件数（その2）,重症（長期入院）以上傷病者・転院搬送除外後の分析対象搬送人員
2024,令和6年,https://www.fdma.go.jp/singi_kento/kento/items/post-174/03/sankou1.pdf,7,医療機関に受入れの照会を行った回数ごとの件数（その2）,重症（長期入院）以上傷病者・転院搬送除外後の分析対象搬送人員
