year,variable,source_file,source_url,download_date,file_size,sha256,page_or_table,extraction_method,extractor_version
2014,ambulance_dispatches,kkkg_h27_01_kyukyu.pdf,https://www.fdma.go.jp/publication/rescue/items/kkkg_h27_01_kyukyu.pdf,2026-07-13,3028967,9a1ad0439e4f97b31b1ec8495a677d0804fa3c88b9fb617089e7e2321f802c7f,別表8の1; printed page 67,pypdfium2 text extraction; prefecture row order; national total reconciliation,phase1a_pdfium_csv_v1
2014,persons_transported,kkkg_h27_01_kyukyu.pdf,https://www.fdma.go.jp/publication/rescue/items/kkkg_h27_01_kyukyu.pdf,2026-07-13,3028967,9a1ad0439e4f97b31b1ec8495a677d0804fa3c88b9fb617089e7e2321f802c7f,別表9の1; printed page 69,pypdfium2 text extraction; prefecture row order; national total reconciliation,phase1a_pdfium_csv_v1
2014,call_to_scene_arrival_mean_minutes,kkkg_h27_01_kyukyu.pdf,https://www.fdma.go.jp/publication/rescue/items/kkkg_h27_01_kyukyu.pdf,2026-07-13,3028967,9a1ad0439e4f97b31b1ec8495a677d0804fa3c88b9fb617089e7e2321f802c7f,別表8の1; printed page 67,pypdfium2 text extraction; prefecture row order; national total reconciliation,phase1a_pdfium_csv_v1
2014,call_to_physician_handover_mean_minutes,kkkg_h27_01_kyukyu.pdf,https://www.fdma.go.jp/publication/rescue/items/kkkg_h27_01_kyukyu.pdf,2026-07-13,3028967,9a1ad0439e4f97b31b1ec8495a677d0804fa3c88b9fb617089e7e2321f802c7f,別表9の1; printed page 69,pypdfium2 text extraction; prefecture row order; national total reconciliation,phase1a_pdfium_csv_v1
2014,scene_ge10_count,kkkg_h27_01_kyukyu.pdf,https://www.fdma.go.jp/publication/rescue/items/kkkg_h27_01_kyukyu.pdf,2026-07-13,3028967,9a1ad0439e4f97b31b1ec8495a677d0804fa3c88b9fb617089e7e2321f802c7f,別表8の1; printed page 67,pypdfium2 text extraction; prefecture row order; national total reconciliation,phase1a_pdfium_csv_v1
2014,scene_ge20_count,kkkg_h27_01_kyukyu.pdf,https://www.fdma.go.jp/publication/rescue/items/kkkg_h27_01_kyukyu.pdf,2026-07-13,3028967,9a1ad0439e4f97b31b1ec8495a677d0804fa3c88b9fb617089e7e2321f802c7f,別表8の1; printed page 67,pypdfium2 text extraction; prefecture row order; national total reconciliation,phase1a_pdfium_csv_v1
2014,handover_ge60_count,kkkg_h27_01_kyukyu.pdf,https://www.fdma.go.jp/publication/rescue/items/kkkg_h27_01_kyukyu.pdf,2026-07-13,3028967,9a1ad0439e4f97b31b1ec8495a677d0804fa3c88b9fb617089e7e2321f802c7f,別表9の1; printed page 69,pypdfium2 text extraction; prefecture row order; national total reconciliation,phase1a_pdfium_csv_v1
2014,handover_ge120_count,kkkg_h27_01_kyukyu.pdf,https://www.fdma.go.jp/publication/rescue/items/kkkg_h27_01_kyukyu.pdf,2026-07-13,3028967,9a1ad0439e4f97b31b1ec8495a677d0804fa3c88b9fb617089e7e2321f802c7f,別表9の1; printed page 69,pypdfium2 text extraction; prefecture row order; national total reconciliation,phase1a_pdfium_csv_v1
2014,ambulance_teams,kkkg_h27_01_kyukyu.pdf,https://www.fdma.go.jp/publication/rescue/items/kkkg_h27_01_kyukyu.pdf,2026-07-13,3028967,9a1ad0439e4f97b31b1ec8495a677d0804fa3c88b9fb617089e7e2321f802c7f,別表2の1; printed page 57,pypdfium2 text extraction; prefecture row order; national total reconciliation,phase1a_pdfium_csv_v1
2014,ambulance_vehicles,kkkg_h27_01_kyukyu.pdf,https://www.fdma.go.jp/publication/rescue/items/kkkg_h27_01_kyukyu.pdf,2026-07-13,3028967,9a1ad0439e4f97b31b1ec8495a677d0804fa3c88b9fb617089e7e2321f802c7f,別表2の1; printed page 57,pypdfium2 text extraction; prefecture row order; national total reconciliation,phase1a_pdfium_csv_v1
2014,ambulance_personnel,kkkg_h27_01_kyukyu.pdf,https://www.fdma.go.jp/publication/rescue/items/kkkg_h27_01_kyukyu.pdf,2026-07-13,3028967,9a1ad0439e4f97b31b1ec8495a677d0804fa3c88b9fb617089e7e2321f802c7f,別表2の1; printed page 57,pypdfium2 text extraction; prefecture row order; national total reconciliation,phase1a_pdfium_csv_v1
2014,operational_emergency_life_saving_technicians,kkkg_h27_01_kyukyu.pdf,https://www.fdma.go.jp/publication/rescue/items/kkkg_h27_01_kyukyu.pdf,2026-07-13,3028967,9a1ad0439e4f97b31b1ec8495a677d0804fa3c88b9fb617089e7e2321f802c7f,別表2の3; printed page 10,pypdfium2 text extraction; prefecture row order; national total reconciliation,phase1a_pdfium_csv_v1
2015,ambulance_dispatches,kkkg_h28_01_kyukyu.pdf,https://www.fdma.go.jp/publication/rescue/items/kkkg_h28_01_kyukyu.pdf,2026-07-13,6237688,bc3e6655cd5a8d8d9838155ba3bdbfc1dfe8fb2a9800ae54593528bdd7fc180a,別表8の1; printed page 65,pypdfium2 text extraction; prefecture row order; national total reconciliation,phase1a_pdfium_csv_v1
2015,persons_transported,kkkg_h28_01_kyukyu.pdf,https://www.fdma.go.jp/publication/rescue/items/kkkg_h28_01_kyukyu.pdf,2026-07-13,6237688,bc3e6655cd5a8d8d9838155ba3bdbfc1dfe8fb2a9800ae54593528bdd7fc180a,別表9の1; printed page 67,pypdfium2 text extraction; prefecture row order; national total reconciliation,phase1a_pdfium_csv_v1
2015,call_to_scene_arrival_mean_minutes,kkkg_h28_01_kyukyu.pdf,https://www.fdma.go.jp/publication/rescue/items/kkkg_h28_01_kyukyu.pdf,2026-07-13,6237688,bc3e6655cd5a8d8d9838155ba3bdbfc1dfe8fb2a9800ae54593528bdd7fc180a,別表8の1; printed page 65,pypdfium2 text extraction; prefecture row order; national total reconciliation,phase1a_pdfium_csv_v1
2015,call_to_physician_handover_mean_minutes,kkkg_h28_01_kyukyu.pdf,https://www.fdma.go.jp/publication/rescue/items/kkkg_h28_01_kyukyu.pdf,2026-07-13,6237688,bc3e6655cd5a8d8d9838155ba3bdbfc1dfe8fb2a9800ae54593528bdd7fc180a,別表9の1; printed page 67,pypdfium2 text extraction; prefecture row order; national total reconciliation,phase1a_pdfium_csv_v1
2015,scene_ge10_count,kkkg_h28_01_kyukyu.pdf,https://www.fdma.go.jp/publication/rescue/items/kkkg_h28_01_kyukyu.pdf,2026-07-13,6237688,bc3e6655cd5a8d8d9838155ba3bdbfc1dfe8fb2a9800ae54593528bdd7fc180a,別表8の1; printed page 65,pypdfium2 text extraction; prefecture row order; national total reconciliation,phase1a_pdfium_csv_v1
2015,scene_ge20_count,kkkg_h28_01_kyukyu.pdf,https://www.fdma.go.jp/publication/rescue/items/kkkg_h28_01_kyukyu.pdf,2026-07-13,6237688,bc3e6655cd5a8d8d9838155ba3bdbfc1dfe8fb2a9800ae54593528bdd7fc180a,別表8の1; printed page 65,pypdfium2 text extraction; prefecture row order; national total reconciliation,phase1a_pdfium_csv_v1
2015,handover_ge60_count,kkkg_h28_01_kyukyu.pdf,https://www.fdma.go.jp/publication/rescue/items/kkkg_h28_01_kyukyu.pdf,2026-07-13,6237688,bc3e6655cd5a8d8d9838155ba3bdbfc1dfe8fb2a9800ae54593528bdd7fc180a,別表9の1; printed page 67,pypdfium2 text extraction; prefecture row order; national total reconciliation,phase1a_pdfium_csv_v1
2015,handover_ge120_count,kkkg_h28_01_kyukyu.pdf,https://www.fdma.go.jp/publication/rescue/items/kkkg_h28_01_kyukyu.pdf,2026-07-13,6237688,bc3e6655cd5a8d8d9838155ba3bdbfc1dfe8fb2a9800ae54593528bdd7fc180a,別表9の1; printed page 67,pypdfium2 text extraction; prefecture row order; national total reconciliation,phase1a_pdfium_csv_v1
2015,ambulance_teams,kkkg_h28_01_kyukyu.pdf,https://www.fdma.go.jp/publication/rescue/items/kkkg_h28_01_kyukyu.pdf,2026-07-13,6237688,bc3e6655cd5a8d8d9838155ba3bdbfc1dfe8fb2a9800ae54593528bdd7fc180a,別表2の1; printed page 55,pypdfium2 text extraction; prefecture row order; national total reconciliation,phase1a_pdfium_csv_v1
2015,ambulance_vehicles,kkkg_h28_01_kyukyu.pdf,https://www.fdma.go.jp/publication/rescue/items/kkkg_h28_01_kyukyu.pdf,2026-07-13,6237688,bc3e6655cd5a8d8d9838155ba3bdbfc1dfe8fb2a9800ae54593528bdd7fc180a,別表2の1; printed page 55,pypdfium2 text extraction; prefecture row order; national total reconciliation,phase1a_pdfium_csv_v1
2015,ambulance_personnel,kkkg_h28_01_kyukyu.pdf,https://www.fdma.go.jp/publication/rescue/items/kkkg_h28_01_kyukyu.pdf,2026-07-13,6237688,bc3e6655cd5a8d8d9838155ba3bdbfc1dfe8fb2a9800ae54593528bdd7fc180a,別表2の1; printed page 55,pypdfium2 text extraction; prefecture row order; national total reconciliation,phase1a_pdfium_csv_v1
2015,operational_emergency_life_saving_technicians,kkkg_h28_01_kyukyu.pdf,https://www.fdma.go.jp/publication/rescue/items/kkkg_h28_01_kyukyu.pdf,2026-07-13,6237688,bc3e6655cd5a8d8d9838155ba3bdbfc1dfe8fb2a9800ae54593528bdd7fc180a,別表2の3; printed page 8,pypdfium2 text extraction; prefecture row order; national total reconciliation,phase1a_pdfium_csv_v1
2016,ambulance_dispatches,kkkg_h29_01_kyukyu.pdf,https://www.fdma.go.jp/publication/rescue/items/kkkg_h29_01_kyukyu.pdf,2026-07-13,2952127,379489a20e20adda9f0c81e488ac73862d9425b746e5a48e6d26d19ceffea99a,別表8の1; printed page 69,pypdfium2 text extraction; prefecture row order; national total reconciliation,phase1a_pdfium_csv_v1
2016,persons_transported,kkkg_h29_01_kyukyu.pdf,https://www.fdma.go.jp/publication/rescue/items/kkkg_h29_01_kyukyu.pdf,2026-07-13,2952127,379489a20e20adda9f0c81e488ac73862d9425b746e5a48e6d26d19ceffea99a,別表9の1; printed page 71,pypdfium2 text extraction; prefecture row order; national total reconciliation,phase1a_pdfium_csv_v1
2016,call_to_scene_arrival_mean_minutes,kkkg_h29_01_kyukyu.pdf,https://www.fdma.go.jp/publication/rescue/items/kkkg_h29_01_kyukyu.pdf,2026-07-13,2952127,379489a20e20adda9f0c81e488ac73862d9425b746e5a48e6d26d19ceffea99a,別表8の1; printed page 69,pypdfium2 text extraction; prefecture row order; national total reconciliation,phase1a_pdfium_csv_v1
2016,call_to_physician_handover_mean_minutes,kkkg_h29_01_kyukyu.pdf,https://www.fdma.go.jp/publication/rescue/items/kkkg_h29_01_kyukyu.pdf,2026-07-13,2952127,379489a20e20adda9f0c81e488ac73862d9425b746e5a48e6d26d19ceffea99a,別表9の1; printed page 71,pypdfium2 text extraction; prefecture row order; national total reconciliation,phase1a_pdfium_csv_v1
2016,scene_ge10_count,kkkg_h29_01_kyukyu.pdf,https://www.fdma.go.jp/publication/rescue/items/kkkg_h29_01_kyukyu.pdf,2026-07-13,2952127,379489a20e20adda9f0c81e488ac73862d9425b746e5a48e6d26d19ceffea99a,別表8の1; printed page 69,pypdfium2 text extraction; prefecture row order; national total reconciliation,phase1a_pdfium_csv_v1
2016,scene_ge20_count,kkkg_h29_01_kyukyu.pdf,https://www.fdma.go.jp/publication/rescue/items/kkkg_h29_01_kyukyu.pdf,2026-07-13,2952127,379489a20e20adda9f0c81e488ac73862d9425b746e5a48e6d26d19ceffea99a,別表8の1; printed page 69,pypdfium2 text extraction; prefecture row order; national total reconciliation,phase1a_pdfium_csv_v1
