year,mean_accept_ge4,sd_accept_ge4,p25_accept_ge4,median_accept_ge4,p75_accept_ge4,mean_scene_ge10,sd_scene_ge10
2014,2.73231961868298,2.48701735026415,0.913389453,2.0001857758,4.1649828261,28.2013092817809,6.69968922568865
2015,2.38863293290426,1.95445888010403,0.8896578595,1.8046888177,3.44559648735,28.3974258231383,6.68208282557868
2016,2.06302394800851,1.60783116657974,0.8125487943,1.578128473,3.26184807265,29.1500734065702,8.02469172060752
2017,1.92834165515532,1.35198593832428,1.0036547627,1.4705882353,3.12157360785,29.4035322100745,7.88297966998787
2018,2.11644370572979,1.46968414553531,1.05016326475,1.7413931145,3.10229778665,30.4598391605702,7.38713590704475
2019,2.10427148061489,1.4733324435385,0.88247339595,1.7077798861,2.9241755297,30.3590604424043,7.34356438760297
2020,2.2705852160383,1.75402883799019,0.84414467545,1.9379180244,3.38312395945,33.1824564041128,7.30429550311781
2021,2.97266946125532,2.56772451402915,1.04747964775,2.4529649917,4.5274786469,37.406965350483,8.13915351191823
2022,5.2222945925383,4.21535684404613,2.19165081345,4.7440699126,7.3672989231,42.6394134775447,8.97663948639929
2023,4.88056498566383,3.69955332176931,1.85554131915,4.4724770642,7.17033923545,40.7505050363298,9.54959928885516
2024,4.18690447912553,3.41426773393666,1.65184361795,3.3550792171,5.7915065752,39.3282814235575,9.32826500111353
