dropped_pref,n_obs,n_clusters,estimate,delta_abs,relative_change,dependency_flag
1,460,46,0.438680493328813,0.00323444472488965,0.00742788856451805,PASS
2,460,46,0.435006143825551,0.000439904778372524,0.00101023945396426,PASS
3,460,46,0.427386639333235,0.00805940927068777,0.018508399138141,PASS
4,460,46,0.431487536294364,0.00395851230955968,0.00909070669547009,PASS
5,460,46,0.439425485353041,0.00397943674911738,0.00913875958198677,PASS
6,460,46,0.437919933006371,0.00247388440244789,0.00568126501636511,PASS
7,460,46,0.431276276436115,0.00416977216780817,0.00957586406209636,PASS
8,460,46,0.449100890860183,0.0136548422562593,0.0313582872092602,PASS
9,460,46,0.435425929050284,2.01195536391752e-05,4.62044694255009e-05,PASS
10,460,46,0.441826778263882,0.00638072965995873,0.0146533185463868,PASS
11,460,46,0.436484220330214,0.00103817172629106,0.00238415695726147,PASS
12,460,46,0.436823100613728,0.00137705200980442,0.00316239408812956,PASS
13,460,46,0.361861204656972,0.0735848439469515,0.168987281393116,PASS
14,460,46,0.432560632669538,0.00288541593438518,0.00662634543047542,PASS
15,460,46,0.430366440520201,0.0050796080837221,0.011665298376246,PASS
16,460,46,0.441858236163636,0.00641218755971273,0.0147255614794778,PASS
17,460,46,0.438818871669098,0.00337282306517472,0.00774567383488329,PASS
18,460,46,0.438856549270718,0.00341050066679482,0.00783220028687636,PASS
19,460,46,0.419027010908592,0.0164190376953317,0.0377062502874295,PASS
20,460,46,0.444049368082572,0.00860331947864929,0.0197574866191397,PASS
21,460,46,0.432549533043601,0.00289651556032172,0.00665183567426595,PASS
22,460,46,0.438503253810532,0.00305720520660896,0.00702085876404348,PASS
23,460,46,0.432477117593214,0.00296893101070961,0.00681813744832052,PASS
24,460,46,0.435204342201437,0.000241706402486108,0.000555077726072011,PASS
25,460,46,0.438582793107892,0.00313674450396872,0.00720352042239307,PASS
26,460,46,0.447393656258016,0.0119476076540927,0.0274376302010266,PASS
27,460,46,0.405963876359239,0.0294821722446839,0.0677056832624988,PASS
28,460,46,0.434560242473068,0.000885806130854983,0.00203425001488692,PASS
29,460,46,0.441982431316514,0.00653638271259038,0.0150107751202395,PASS
30,460,46,0.437880180605362,0.00243413200143905,0.00558997379639356,PASS
31,460,46,0.439916781003789,0.00447073239986601,0.0102670179559547,PASS
32,460,46,0.432006298808039,0.00343974979588457,0.00789937078752397,PASS
33,460,46,0.446806996879788,0.0113609482758652,0.0260903694321934,PASS
34,460,46,0.43432342857305,0.00112262003087371,0.00257809212983543,PASS
35,460,46,0.43672787090875,0.00128182230482654,0.00294369947536824,PASS
36,460,46,0.447570079451159,0.0121240308472362,0.0278427853142929,PASS
37,460,46,0.449179832667642,0.0137337840637183,0.0315395767345919,PASS
38,460,46,0.45219406421844,0.0167480156145164,0.0384617466807012,PASS
39,460,46,0.43333782662994,0.00210822197398325,0.00484152280343888,PASS
40,460,46,0.431740673954121,0.00370537464980203,0.00850937713565612,PASS
41,460,46,0.443075300990529,0.00762925238660561,0.0175205456819866,PASS
42,460,46,0.434311752861695,0.0011342957422279,0.00260490535133927,PASS
43,460,46,0.436075858142506,0.000629809538582993,0.00144635492870406,PASS
44,460,46,0.433019321858143,0.00242672674577976,0.00557296765824389,PASS
45,460,46,0.4410853491675,0.00563930056357698,0.0129506297775742,PASS
46,460,46,0.428123096602449,0.0073229520014747,0.0168171281492913,PASS
47,460,46,0.426145788237955,0.0093002603659682,0.0213580084049118,PASS
