dropped_year,n_obs,n_clusters,estimate,delta_abs,relative_change,dependency_flag
2015,423,47,0.458934351985106,0.023488303381183,0.0539407888910429,PASS
2016,423,47,0.404360104010576,0.0310859445933474,0.0713887396452707,PASS
2017,423,47,0.438815416031612,0.0033693674276884,0.00773773797808218,PASS
2018,423,47,0.435446896961744,8.48357820770751e-07,1.9482501299315e-06,PASS
2019,423,47,0.451519153630873,0.0160731050269502,0.0369118173846839,PASS
2020,423,47,0.429909376691504,0.00553667191241947,0.0127149435163564,PASS
2021,423,47,0.336529164157492,0.0989168844464317,0.227162204740559,PASS
2022,423,47,0.386268972770865,0.0491770758330579,0.112934945651071,PASS
2023,423,47,0.516572755003399,0.0811267063994757,0.186307136462886,PASS
2024,423,47,0.444580515575223,0.00913446697129977,0.0209772645786674,PASS
